X,Y
1949,1120
1949.083333,1180
1949.166667,1320
1949.25,1290
1949.333333,1210
1949.416667,1350
1949.5,1480
1949.583333,1480
1949.666667,1360
1949.75,1190
1949.833333,1040
1949.916667,1180
1950,1150
1950.083333,1260
1950.166667,1410
1950.25,1350
1950.333333,1250
1950.416667,1490
1950.5,1700
1950.583333,1700
1950.666667,1580
1950.75,1330
1950.833333,1140
1950.916667,1400
1951,1450
1951.083333,1500
1951.166667,1780
1951.25,1630
1951.333333,1720
1951.416667,1780
1951.5,1990
1951.583333,1990
1951.666667,1840
1951.75,1620
1951.833333,1460
1951.916667,1660
1952,1710
1952.083333,1800
1952.166667,1930
1952.25,1810
1952.333333,1830
1952.416667,2180
1952.5,2300
1952.583333,2420
1952.666667,2090
1952.75,1910
1952.833333,1720
1952.916667,1940
1953,1960
1953.083333,1960
1953.166667,2360
1953.25,2350
1953.333333,2290
1953.416667,2430
1953.5,2640
1953.583333,2720
1953.666667,2370
1953.75,2110
1953.833333,1800
1953.916667,2010
1954,2040
1954.083333,1880
1954.166667,2350
1954.25,2270
1954.333333,2340
1954.416667,2640
1954.5,3020
1954.583333,2930
1954.666667,2590
1954.75,2290
1954.833333,2030
1954.916667,2290
1955,2420
1955.083333,2330
1955.166667,2670
1955.25,2690
1955.333333,2700
1955.416667,3150
1955.5,3640
1955.583333,3470
1955.666667,3120
1955.75,2740
1955.833333,2370
1955.916667,2780
1956,2840
1956.083333,2770
1956.166667,3170
1956.25,3130
1956.333333,3180
1956.416667,3740
1956.5,4130
1956.583333,4050
1956.666667,3550
1956.75,3060
1956.833333,2710
1956.916667,3060
1957,3150
1957.083333,3010
1957.166667,3560
1957.25,3480
1957.333333,3550
1957.416667,4220
1957.5,4650
1957.583333,4670
1957.666667,4040
1957.75,3470
1957.833333,3050
1957.916667,3360
1958,3400
1958.083333,3180
1958.166667,3620
1958.25,3480
1958.333333,3630
1958.416667,4350
1958.5,4910
1958.583333,5050
1958.666667,4040
1958.75,3590
1958.833333,3100
1958.916667,3370
1959,3600
1959.083333,3420
1959.166667,4060
1959.25,3960
1959.333333,4200
1959.416667,4720
1959.5,5480
1959.583333,5590
1959.666667,4630
1959.75,4070
1959.833333,3620
1959.916667,4050
1960,4170
1960.083333,3910
1960.166667,4190
1960.25,4610
1960.333333,4720
1960.416667,5350
1960.5,6220
1960.583333,6060
1960.666667,5080
1960.75,4610
1960.833333,3900
1960.916667,4320
